id,name,latitude,longitude,address,hash_tags,unique_page
102,L'Hamburger,45.48793,-73.85029,4708 Boulevard Saint-Jean,"Burgers,American,Poutine,Comfort Food,Canadian,Juice Bar & Smoothies",https://www.restomontreal.ca/resto/lhamburger-pierrefonds-roxboro/16876/en/
103,Buvette Laganière,45.305361,-73.250639,167 Rue Richelieu,"Burgers,Fish & Chips,Tartare,Steakhouse,Poutine,Pub Food",https://www.restomontreal.ca/resto/buvette-laganiere-st-jean-sur-richelieu/14885/en/
104,Restaurant Cabotins,45.556098,-73.530822,4821 Rue Ste-Catherine E,"French,Tartare,Gluten-free Options",https://www.restomontreal.ca/resto/restaurant-cabotins-hochelaga-maisonneuve/1801/en/
105,Terrasse Alizé,45.503952,-73.562783,340 Rue de La Gauchetière O,"Market,Regional,Tartare,Seafood/Fish,Burgers,Gluten-free Options",https://www.restomontreal.ca/resto/terrasse-alize-downtown/15498/en/
106,Le Château D'Asie,45.732256,-73.454829,60 Rue Aqueduc,"Thai,Chinese,Cambodian,Asian,Szechuan",https://www.restomontreal.ca/resto/le-chateau-dasie-repentigny/5555/en/
107,Sushi Matsu,45.366063,-73.710434,40 Boulevard St-Jean-Baptiste,"Sushi,Japanese,Thai,Asian,Fusion,Szechuan",https://www.restomontreal.ca/resto/sushi-matsu-chateauguay/7115/en/
108,New Burger BUM,45.39901,-72.726595,20 Rue Johnson,"Burgers,Poutine,Ice Cream",https://www.restomontreal.ca/resto/burger-bum-granby/18366/en/
109,Bocci Restaurant,45.428718,-73.631787,1756 Avenue Dollard,"Italian,Mediterranean,Grill",https://www.restomontreal.ca/resto/bocci-restaurant-lasalle/190/en/
110,Piel Canela,45.524189,-73.583753,4542 Rue St-Denis,"Café,Breakfast,Latin American,Gluten-free Options",https://www.restomontreal.ca/resto/piel-canela-le-plateau/17811/en/
111,Le Khan Xpress,45.562172,-73.580249,4035 Rue Beaubien E,"Afghan,Sandwiches,Poutine,Comfort Food,Middle Eastern,Burgers",https://www.restomontreal.ca/resto/le-khan-xpress-villeray-saint-michel/19993/en/
112,Restaurant Maurizio,45.445291,-73.852771,2738 Boulevard St-Charles,"Italian,Pasta,Pizza,Grill,Café,Burgers",https://www.restomontreal.ca/resto/restaurant-maurizio-kirkland/9866/en/
113,La Cabane du Coureur,45.682713,-73.251125,158 Des 60 Rang,"Sugar Shack,Regional,Desserts & Sweets,Crêpes",https://www.restomontreal.ca/resto/la-cabane-du-coureur-st-marc-sur-richelieu/13042/en/
114,Restaurant Brava Grill #1,45.494145,-73.481696,3302 Boulevard Taschereau,"Portuguese,Market,Grill,Poutine,Sandwiches,Seafood/Fish",https://www.restomontreal.ca/resto/restaurant-brava-grill-1-longueuil/13454/en/
115,Mlle Flexcyntarienne - Repas prêt à manger,45.582692,-73.749431,2940b Boulevard le Corbusier,"Vegan Options,Salads,Vegetarian,Healthy,Organic/Bio,Comfort Food",https://www.restomontreal.ca/resto/mlle-flexcyntarienne-repas-pret-a-manger-chomedey/14209/en/
116,Sandhu,45.533167,-73.575574,4548 Avenue Papineau,"Italian,Indian,Pizza,Salads",https://www.restomontreal.ca/resto/sandhu-le-plateau/1936/en/
117,Le Toit Rouge,45.565735,-73.553067,5000 Rue Sherbrooke E,"International,Pasta,Sandwiches,Burgers,Grill,Fish & Chips",https://www.restomontreal.ca/resto/le-toit-rouge-hochelaga-maisonneuve/11460/en/
118,Cabane aux Délices des Sucres,45.866269,-73.736164,290 Côte Jeanne,"Sugar Shack,Regional,Desserts & Sweets",https://www.restomontreal.ca/resto/cabane-aux-delices-des-sucres-saint-lin-laurentides/11206/en/
119,Chez Canton,45.507797,-73.566908,1425 Rue Jeanne-Mance,"Regional,Fondue,Soups,Salads",https://www.restomontreal.ca/resto/chez-canton-downtown/17649/en/
120,Restaurant L'Élan - Parcours du Cerf,45.560712,-73.452331,2500 Boulevard Fernand-Lafontaine,"Breakfast,French,Asian,Fusion,Market",https://www.restomontreal.ca/resto/restaurant-lelan-parcours-du-cerf-longueuil/15239/en/
121,Corner Collection,45.507891,-73.553645,448 Place Jacques-Cartier,"Breakfast,French,Asian,Fusion,Market",https://www.restomontreal.ca/resto/corner-collection-old-montreal/17881/en/
122,Les Enfants Terribles,45.472914,-73.538108,209 Rue de la Rotonde,"Comfort Food,Market,French,Bistro,Tartare,Grill",https://www.restomontreal.ca/resto/les-enfants-terribles-verdun/6507/en/
123,Restaurant Majeur,45.509804,-73.675322,617 Boulevard Decarie,"Russian,Grill,Seafood/Fish,Soups,Salads",https://www.restomontreal.ca/resto/restaurant-majeur-ville-saint-laurent/18824/en/
124,India Beau Village,45.530884,-73.63564,640 Rue Jarry O,"Indian,Halal,Vegetarian",https://www.restomontreal.ca/resto/india-beau-village-parc-extension/926/en/
125,SHAKER Cuisine & Mixologie,45.643686,-73.871475,20820 Chemin de la Côte N,"Burgers,Tartare,Comfort Food,Poke Bowl,Poutine,Salads",https://www.restomontreal.ca/resto/shaker-cuisine-mixologie-blainville/18175/en/
126,Paradise Biryani Pointe,45.494431,-73.579869,1439B Rue St-Mathieu,"Indian,Vegetarian",https://www.restomontreal.ca/resto/paradise-biryani-pointe-downtown/11459/en/
127,L'Oeufrier,45.435145,-73.671108,830 Rue Notre-Dame,"Breakfast,Crêpes,Burgers,Grilled Cheese,Poutine,Gluten-free Options",https://www.restomontreal.ca/resto/l-oeufrier-lachine/13377/en/
128,Restaurant Manana,45.518007,-73.569316,3605 Rue Saint-Denis,"Mexican,Vegetarian,Market,Latin American,Gluten-free Options",https://www.restomontreal.ca/resto/restaurant-manana-le-plateau/4996/en/
129,Diba Restaurant,45.467563,-73.638203,6520 ave Somerled,"Persian,Iranian,Middle Eastern,Grill",https://www.restomontreal.ca/resto/diba-restaurant-notre-dame-de-grace-ndg/20050/en/
130,Le Boating Club,45.611692,-73.792134,30 Boulevard Curé-Labelle,"Eclectic,Creative,Comfort Food,International,Tartare",https://www.restomontreal.ca/resto/le-boating-club-sainte-rose/9937/en/
131,Restaurant Tabu,45.531167,-73.60776,67 Rue Beaubien E,"Peruvian,Brazilian,Fusion,Seafood/Fish,Grill,Tapas",https://www.restomontreal.ca/resto/restaurant-tabu-little-italy/16908/en/
132,Jacques Cartier Pizza,45.583057,-73.324815,183 Boulevard Armand-Frappier,"Pizza,Poutine,Burgers,Comfort Food,Pasta,Sandwiches",https://www.restomontreal.ca/resto/jacques-cartier-pizza-sainte-julie/16051/en/
