id,name,latitude,longitude,address,hash_tags,unique_page
79,BRUT. Fabrique Gourmande,45.692751,-73.635875,845 Rue St-Pierre,"Market,Regional,Creative,Pasta,Gluten-free Options",https://www.restomontreal.ca/resto/brut-fabrique-gourmande-terrebonne-lachenaie/14607/en/
80,Ohana Sushi Vegan,45.523271,-73.583379,330 Avenue Mont-Royal E,"Sushi,Vegan/100% Plant-Based,Vegan Options,Poke Bowl,Healthy,Japanese",https://www.restomontreal.ca/resto/ohana-sushi-vegan-le-plateau/13339/en/
81,Piri Piri,45.496988,-73.624155,5480 Chemin de la Côte-des-Neiges,"Portuguese,Rotisserie,Grill,Poutine",https://www.restomontreal.ca/resto/piri-piri-cote-des-neiges-cote-des-neiges/11758/en/
82,Robin des Bois,45.525151,-73.569769,3933 Avenue du Parc la Fontaine,"Café,Market,Comfort Food,Salads,Healthy,Vegetarian",https://www.restomontreal.ca/resto/robin-des-bois-le-plateau/1881/en/
83,Prima Luna,45.617934,-73.594226,7301 Boulevard Henri Bourassa E,"Italian,Sushi,Szechuan",https://www.restomontreal.ca/resto/prima-luna-/2624/en/
84,Le Virunga,45.524093,-73.576234,851 Rue Rachel E,"African,Healthy,Grill,Exotic,Gluten-free Options",https://www.restomontreal.ca/resto/virunga-le-plateau/10928/en/
85,Restaurant Sens,45.568745,-73.44245,1228 Rue Nobel,"Bistro,Regional,French,Tartare,International,Tapas",https://www.restomontreal.ca/resto/restaurant-sens-boucherville/7079/en/
86,Phuket,45.577392,-73.59806,4673 Rue Jarry E,"Thai,Sushi,Asian,Poke Bowl,Tartare",https://www.restomontreal.ca/resto/phuket-anjou-st-leonard/1816/en/
87,Lucille's Avenue des Canadiens,45.497072,-73.570399,1065 Rue Drummond,"Seafood/Fish,Grill,Fish & Chips,Tartare,Burgers,Steakhouse",https://www.restomontreal.ca/resto/lucilles-avenue-des-canadiens-downtown/19230/en/
88,Le Georgia,45.483563,-73.629822,5112 Boulevard Décarie,"Georgian,Russian",https://www.restomontreal.ca/resto/le-georgia-cote-des-neiges/1250/en/
89,Taiyo Sushi,45.523933,-73.469236,2480 Chemin de Chambly,"Sushi,Fusion,Japanese,Grill,Asian",https://www.restomontreal.ca/resto/taiyo-sushi-longueuil/11967/en/
90,Makaya Chocolat & Bistro,45.434318,-73.686137,2492 Boulevard St-Joseph,"Chocolaterie,Crêpes,Café,Desserts & Sweets",https://www.restomontreal.ca/resto/makaya-chocolat-bistro-lachine/17848/en/
91,Sésame,45.47965,-73.5751,141 Avenue Atwater,"Asian,Fusion,Chinese,Japanese,Thai,Vegetarian",https://www.restomontreal.ca/resto/sesame-montreal-southwest/6832/en/
92,Toqué!,45.502963,-73.561217,900 Place Jean-Paul Riopelle,"Market,Regional,Creative,Contemporary/Modern,French,Tartare",https://www.restomontreal.ca/resto/toque-old-montreal/1443/en/
93,Kimpo Korean BBQ,45.587192,-73.430514,500 Rue D'Avaugour,"Korean,BBQ,Sushi,Japanese,Chinese,Grill",https://www.restomontreal.ca/resto/kimpo-korean-bbq-boucherville/13984/en/
94,Gare 422,45.780666,-74.017106,422 Boulevard Monseigneur-Dubois,"Grill,Tartare,Market,Bistro,Burgers,Pasta",https://www.restomontreal.ca/resto/gare-422-saint-jerme/9062/en/
95,Oeufs & Cie,45.450122,-73.442663,8840 Boulevard Leduc,"Breakfast,Crêpes,Salads,Sandwiches",https://www.restomontreal.ca/resto/oeufs-cie-brossard/5984/en/
96,Darlington Boire & Manger,45.505294,-73.564158,380 Boulevard René-Lévesque O,"International,Grill,Sandwiches,Salads,Burgers,Pizza",https://www.restomontreal.ca/resto/darlington-boire-manger-downtown/7193/en/
97,Restaurant Solymar Montreal,45.543636,-73.620003,7610 Rue St-Hubert,"Peruvian,Latin American,Seafood/Fish,Grill,Mussels,Salads",https://www.restomontreal.ca/resto/restaurant-solymar-montreal-villeray-saint-michel/3418/en/
98,L'Atelier Sushi,45.639268,-73.84178,6 Rue Turgeon,"Sushi,Asian,Fusion,Poke Bowl,Tapas",https://www.restomontreal.ca/resto/latelier-sushi-sainte-therese/13031/en/
99,Kiyomi,45.561799,-73.745524,145 Promenade du Centropolis,"Tapas,Fusion,Korean,American,Asian",https://www.restomontreal.ca/resto/kiyomi-chomedey/7161/en/
100,Rumi,45.519202,-73.598398,5198 Rue Hutchison,"Middle Eastern,Moroccan,Turkish,Mediterranean,Persian,Halal",https://www.restomontreal.ca/resto/rumi-mile-end/1982/en/
101,East Pan Asiatique,45.502746,-73.569205,1250 Boulevard Robert-Bourrassa,"Asian,Chinese,Japanese,Thai,Korean,Ramen",https://www.restomontreal.ca/resto/east-pan-asiatique-downtown/10330/en/
102,GESO Ristorante,45.495393,-73.582302,1800 Rue Sherbrooke O,"Italian,Pasta,Grill,Market,Vegan Options,Salads",https://www.restomontreal.ca/resto/geso-ristorante-downtown/16798/en/
